customer_id,age,monthly_income,account_type,city,churned
1001,,2547.59,basic,Hebron,0
1002,58.0,4565.11,business,Nablus,0
1003,52.0,1648.84,basic,Ramallah,0
1004,40.0,3131.63,premium,Hebron,1
1005,,3679.03,premium,Ramallah,0
1006,,4144.84,basic,Ramallah,0
1007,22.0,4282.35,basic,Nablus,0
1008,54.0,4372.68,business,Ramallah,0
1009,28.0,3116.4,premium,Nablus,0
1010,22.0,2991.41,premium,Nablus,0
1011,45.0,4443.77,premium,,0
1012,68.0,3289.57,premium,Ramallah,0
1013,56.0,2096.75,business,Hebron,0
1014,57.0,,basic,Ramallah,0
1015,55.0,2488.6,business,Hebron,0
1016,58.0,4046.88,business,Ramallah,0
1017,44.0,3656.67,premium,Nablus,0
1018,,4259.53,basic,Ramallah,0
1019,61.0,3030.02,basic,Hebron,1
1020,41.0,3674.39,business,Ramallah,1
1021,44.0,4188.15,business,Nablus,0
1022,37.0,3159.72,basic,Nablus,0
1023,27.0,4002.45,basic,Hebron,0
1024,66.0,2771.88,basic,Ramallah,1
1025,58.0,3100.64,basic,Ramallah,0
1026,51.0,3080.09,business,Hebron,1
1027,38.0,2184.58,business,Hebron,0
1028,60.0,4035.67,basic,Hebron,0
1029,46.0,2983.66,business,Nablus,0
1030,41.0,3513.74,basic,Nablus,0
1031,41.0,4028.82,premium,Nablus,0
1032,29.0,3991.18,premium,Nablus,0
1033,22.0,4231.92,business,Nablus,1
1034,46.0,3391.67,business,Hebron,0
1035,64.0,3034.37,basic,Nablus,0
1036,21.0,3412.31,basic,Hebron,0
1037,62.0,1643.93,basic,Ramallah,0
1038,61.0,1908.18,basic,Ramallah,0
1039,32.0,2045.03,business,Ramallah,1
1040,50.0,2403.03,business,Hebron,0
1041,26.0,3939.75,basic,Hebron,1
1042,57.0,2503.97,business,Nablus,1
1043,54.0,3084.02,premium,Hebron,0
1044,36.0,4929.15,premium,Hebron,1
1045,21.0,3108.11,premium,Nablus,1
1046,68.0,4311.27,basic,Hebron,1
1047,41.0,2473.02,business,Nablus,0
1048,64.0,3274.02,basic,Nablus,0
1049,53.0,2454.98,basic,Ramallah,0
1050,58.0,3127.06,basic,Hebron,0
1051,57.0,4424.34,basic,Hebron,0
1052,28.0,1599.95,basic,Hebron,0
1053,36.0,3977.87,basic,Ramallah,0
1054,42.0,,business,Hebron,0
1055,43.0,2846.44,business,Ramallah,0
1056,20.0,1909.34,basic,Hebron,0
1057,46.0,3579.34,basic,Ramallah,1
1058,26.0,2917.56,premium,Hebron,0
1059,56.0,3755.94,business,Nablus,0
1060,53.0,3524.04,business,Hebron,1
1061,65.0,5261.96,business,Hebron,0
1062,56.0,3236.71,premium,Hebron,0
1063,37.0,2374.15,premium,,0
1064,68.0,3697.2,basic,Hebron,0
1065,39.0,3742.0,business,,0
1066,34.0,4995.11,business,Ramallah,0
1067,65.0,4418.62,basic,Ramallah,0
1068,37.0,3892.56,business,Nablus,0
1069,21.0,5109.63,basic,Nablus,1
1070,42.0,2192.36,business,Ramallah,0
1071,59.0,2796.27,business,Nablus,0
1072,,2480.77,basic,Hebron,0
1073,42.0,3071.21,premium,Nablus,0
1074,24.0,1985.65,basic,Ramallah,0
1075,53.0,4198.67,premium,,0
1076,42.0,3255.56,business,Nablus,1
1077,35.0,1882.11,basic,Nablus,0
1078,29.0,2382.86,premium,Nablus,0
1079,47.0,3844.87,business,Ramallah,0
1080,52.0,4421.94,basic,Hebron,0
1081,66.0,5696.4,basic,Ramallah,1
1082,40.0,,premium,Hebron,1
1083,26.0,3955.85,premium,Nablus,0
1084,61.0,2411.51,premium,Hebron,0
1085,50.0,1154.75,basic,Hebron,1
1086,54.0,3794.48,business,Hebron,0
1087,23.0,2605.76,premium,,1
1088,34.0,3043.11,basic,Ramallah,0
1089,57.0,,business,Nablus,1
1090,61.0,3345.13,business,Ramallah,0
1091,40.0,4672.58,premium,Hebron,0
1092,59.0,3672.75,basic,Hebron,0
1093,61.0,3325.5,premium,Hebron,0
1094,38.0,2360.78,premium,Ramallah,0
1095,64.0,1657.85,basic,Nablus,0
1096,,2965.06,premium,Ramallah,1
1097,,,business,Nablus,0
1098,53.0,5444.72,basic,Hebron,0
1099,51.0,,business,Hebron,0
1100,25.0,,basic,Nablus,0
1101,,2950.77,business,Hebron,1
1102,28.0,2196.56,premium,Hebron,1
1103,59.0,2438.37,basic,,0
1104,18.0,2702.25,business,Nablus,1
1105,59.0,,basic,Nablus,1
1106,58.0,2596.47,premium,Hebron,0
1107,58.0,4422.34,basic,Nablus,1
1108,52.0,2506.78,business,Nablus,0
1109,42.0,4524.73,business,Nablus,1
1110,54.0,3923.45,business,Nablus,0
1111,32.0,3327.7,premium,Hebron,0
1112,58.0,3455.16,premium,Nablus,0
1113,46.0,2779.73,premium,Hebron,1
1114,,3990.68,business,Nablus,0
1115,44.0,2999.52,business,Ramallah,0
1116,47.0,2151.83,basic,Nablus,0
1117,,2094.27,premium,Ramallah,0
1118,25.0,3689.85,basic,Ramallah,0
1119,30.0,5237.0,basic,Ramallah,1
1120,23.0,3675.99,business,Nablus,0
