k,accuracy,precision_weighted,recall_weighted,f1_weighted
1,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
2,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
3,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
4,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
5,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
6,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
7,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
8,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
9,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
10,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
11,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
12,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
13,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
14,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
15,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
