customer_id,tenure_months,monthly_charges,contract,internet_service,support_plan,city,churned
2001,7.0,66.57,month-to-month,fiber,yes,Nablus,0
2002,56.0,70.72,two-year,dsl,yes,Nablus,0
2003,48.0,67.46,one-year,dsl,yes,Bethlehem,0
2004,32.0,76.36,one-year,dsl,yes,Bethlehem,0
2005,32.0,105.37,month-to-month,dsl,yes,Ramallah,0
2006,62.0,20.0,month-to-month,fiber,yes,Ramallah,0
2007,7.0,67.79,month-to-month,fiber,yes,Nablus,0
2008,51.0,76.88,two-year,dsl,yes,Ramallah,0
2009,15.0,79.51,one-year,fiber,yes,Ramallah,0
2010,7.0,64.82,one-year,fiber,yes,Hebron,0
2011,38.0,34.35,month-to-month,fiber,yes,Ramallah,0
2012,71.0,80.22,month-to-month,fiber,no,Nablus,0
2013,53.0,111.0,month-to-month,dsl,no,Bethlehem,0
2014,55.0,39.26,one-year,dsl,no,Bethlehem,0
2015,52.0,92.0,one-year,fiber,no,Ramallah,1
2016,57.0,65.77,month-to-month,dsl,no,Hebron,0
2017,37.0,71.65,two-year,dsl,yes,Hebron,0
2018,10.0,49.84,month-to-month,dsl,no,,0
2019,61.0,65.64,two-year,dsl,no,Nablus,0
2020,33.0,101.6,month-to-month,fiber,no,Bethlehem,0
2021,37.0,85.82,month-to-month,dsl,no,Bethlehem,0
2022,27.0,111.11,two-year,fiber,no,Hebron,1
2023,14.0,98.9,month-to-month,fiber,no,Nablus,0
2024,67.0,82.66,month-to-month,fiber,no,Ramallah,0
2025,57.0,111.37,month-to-month,fiber,yes,Hebron,1
2026,47.0,82.66,month-to-month,fiber,no,Nablus,1
2027,29.0,91.22,one-year,fiber,yes,Hebron,0
2028,60.0,66.48,two-year,dsl,no,Ramallah,0
2029,40.0,74.46,two-year,fiber,no,Nablus,1
2030,32.0,57.66,month-to-month,fiber,yes,Ramallah,0
2031,33.0,94.77,month-to-month,fiber,no,Nablus,0
2032,17.0,47.08,month-to-month,fiber,yes,,0
2033,7.0,90.21,month-to-month,fiber,no,Bethlehem,1
2034,40.0,68.81,month-to-month,fiber,no,Hebron,1
2035,64.0,98.77,two-year,fiber,no,Hebron,0
2036,5.0,89.52,two-year,dsl,no,Nablus,0
2037,62.0,113.05,one-year,none,yes,Ramallah,0
2038,60.0,89.08,month-to-month,dsl,yes,Nablus,0
2039,20.0,38.42,month-to-month,dsl,yes,Hebron,0
2040,46.0,71.53,month-to-month,dsl,yes,Nablus,0
2041,12.0,47.22,month-to-month,none,no,Bethlehem,0
2042,55.0,61.6,month-to-month,dsl,yes,Hebron,0
2043,51.0,106.25,month-to-month,dsl,yes,Ramallah,0
2044,26.0,87.03,month-to-month,none,no,Bethlehem,1
2045,5.0,57.62,two-year,dsl,no,Nablus,0
2046,70.0,50.7,month-to-month,fiber,yes,Hebron,0
2047,33.0,73.72,two-year,fiber,no,Hebron,0
2048,65.0,46.24,month-to-month,fiber,no,Bethlehem,0
2049,49.0,58.23,one-year,dsl,yes,Bethlehem,0
2050,57.0,79.86,month-to-month,dsl,no,Ramallah,0
2051,55.0,98.42,month-to-month,fiber,yes,Ramallah,0
2052,15.0,86.39,month-to-month,dsl,yes,Bethlehem,1
2053,27.0,22.59,month-to-month,dsl,no,Hebron,1
2054,34.0,79.7,two-year,dsl,yes,Hebron,0
2055,36.0,74.58,month-to-month,fiber,yes,Bethlehem,1
2056,4.0,82.11,one-year,fiber,no,Hebron,1
2057,40.0,108.56,month-to-month,dsl,yes,Bethlehem,0
2058,12.0,27.61,month-to-month,dsl,no,Ramallah,0
2059,54.0,60.0,month-to-month,none,yes,Bethlehem,0
2060,50.0,86.0,month-to-month,dsl,no,Hebron,0
2061,67.0,38.2,two-year,dsl,no,Bethlehem,0
2062,54.0,105.47,two-year,fiber,no,Hebron,0
2063,27.0,81.1,one-year,fiber,no,Hebron,0
2064,70.0,91.62,month-to-month,fiber,yes,Nablus,0
2065,30.0,60.44,month-to-month,dsl,no,Nablus,1
2066,24.0,90.9,two-year,none,yes,Bethlehem,0
2067,66.0,96.51,month-to-month,fiber,no,Hebron,0
2068,27.0,78.12,month-to-month,dsl,no,,0
2069,6.0,78.16,month-to-month,fiber,yes,Nablus,0
2070,34.0,78.95,two-year,fiber,no,Bethlehem,1
2071,58.0,54.01,one-year,fiber,yes,Ramallah,0
2072,14.0,69.75,one-year,fiber,no,Bethlehem,1
2073,34.0,69.64,two-year,none,no,Bethlehem,0
2074,10.0,81.43,month-to-month,fiber,yes,Bethlehem,0
2075,50.0,95.0,two-year,dsl,no,Nablus,0
2076,35.0,49.71,month-to-month,dsl,no,Nablus,0
2077,24.0,70.25,one-year,fiber,yes,Nablus,0
2078,17.0,105.59,month-to-month,fiber,no,Nablus,1
2079,41.0,56.64,two-year,dsl,yes,Nablus,0
2080,49.0,54.91,month-to-month,fiber,no,Nablus,0
2081,68.0,77.45,month-to-month,none,yes,Ramallah,1
2082,32.0,91.58,month-to-month,fiber,no,Nablus,1
2083,12.0,73.25,month-to-month,dsl,no,Bethlehem,1
2084,60.0,102.24,month-to-month,dsl,yes,Bethlehem,0
2085,46.0,91.85,one-year,fiber,yes,Nablus,0
2086,51.0,,month-to-month,fiber,no,Hebron,1
2087,8.0,,two-year,none,no,Nablus,0
2088,23.0,124.21,month-to-month,fiber,no,Ramallah,1
2089,56.0,68.49,one-year,fiber,yes,Hebron,0
2090,60.0,28.92,month-to-month,fiber,yes,Hebron,1
2091,32.0,108.29,one-year,fiber,no,Nablus,0
2092,58.0,62.93,one-year,dsl,no,Bethlehem,0
