customer_id,annual_income_k,spending_score
1,52.13,23.15
2,38.56,83.91
3,39.57,73.74
4,40.72,83.17
5,79.63,31.84
6,40.25,69.99
7,79.63,100.0
8,36.75,15.79
9,70.95,17.23
10,87.35,73.8
11,91.01,13.74
12,98.85,58.45
13,103.77,76.98
14,47.86,81.59
15,76.58,38.33
16,85.26,31.32
17,96.43,63.52
18,87.11,19.68
19,42.29,99.16
20,21.54,15.86
21,83.3,83.3
22,87.65,75.15
23,41.97,26.61
24,29.68,25.2
25,90.85,17.85
26,28.18,14.24
27,44.78,16.02
28,89.87,18.66
29,43.43,69.46
30,31.57,16.85
31,29.05,71.12
32,41.86,27.41
33,76.12,39.55
34,82.89,77.22
35,105.61,92.02
36,36.02,19.04
37,32.84,77.86
38,31.3,5.81
39,31.14,67.63
40,51.69,78.8
41,32.18,21.6
42,42.7,89.11
43,87.26,87.12
44,34.6,9.81
45,26.6,92.04
46,98.71,72.98
47,32.78,66.83
48,74.06,80.06
49,38.75,90.85
50,91.26,25.97
51,28.13,30.99
52,96.77,19.86
53,88.95,73.52
54,88.95,71.27
55,53.79,87.0
56,28.49,32.56
57,99.57,10.59
58,92.42,25.65
59,87.5,27.06
60,28.28,19.65
61,37.95,24.11
62,38.73,89.02
63,82.66,10.77
64,42.04,29.38
65,75.35,66.48
66,32.21,16.09
67,106.62,78.28
68,87.14,88.42
69,94.37,10.58
70,38.98,34.59
71,42.03,24.28
72,52.63,79.15
73,75.27,26.24
74,30.2,95.56
75,94.42,25.1
76,34.2,100.0
77,29.89,21.49
78,36.36,78.54
79,88.56,83.13
80,28.4,11.99
81,83.11,34.62
82,30.52,80.81
83,92.79,72.01
84,43.08,82.84
85,91.57,76.34
86,51.26,81.4
87,38.69,84.24
88,36.11,78.61
89,83.47,36.79
90,41.47,83.07
91,93.14,66.54
92,83.23,81.18
93,92.51,76.74
94,78.14,82.01
95,76.89,29.13
96,86.41,27.1
97,33.47,17.68
98,41.0,26.43
99,31.71,84.84
100,85.42,30.32
101,37.38,82.36
102,88.64,28.73
103,43.57,60.67
104,48.85,100.0
105,88.84,4.38
106,88.51,32.58
107,77.28,75.96
108,36.14,26.41
109,36.93,76.61
110,38.45,16.6
111,91.58,78.47
112,79.41,20.75
113,97.43,53.32
114,79.42,6.97
115,73.42,84.07
116,24.58,29.11
117,32.8,12.61
118,89.79,94.08
119,82.63,45.95
120,84.51,23.87
121,41.35,28.73
122,82.02,27.43
123,32.28,82.05
124,53.21,77.79
125,78.19,83.1
126,98.95,32.71
127,31.75,16.45
128,35.53,25.11
129,44.03,28.91
130,38.3,31.64
131,30.25,79.12
132,40.05,38.17
133,34.76,74.11
134,95.4,17.6
135,75.57,20.88
136,39.35,27.09
137,98.54,86.01
138,85.53,23.15
139,29.39,73.13
140,39.26,36.69
141,81.06,65.91
142,71.04,27.74
143,87.62,23.67
144,37.44,31.21
145,93.8,88.06
146,41.38,72.11
147,92.63,77.32
148,96.56,77.44
149,30.2,70.44
150,34.09,27.14
151,32.32,27.82
152,82.98,28.32
153,84.57,80.82
154,98.61,93.1
155,41.22,20.78
156,105.5,90.33
157,81.68,92.27
158,37.92,21.79
159,92.92,39.44
160,19.39,22.22
161,36.84,82.09
162,30.9,21.95
163,94.17,85.57
164,91.91,34.0
165,89.66,26.82
166,89.06,89.57
167,36.13,90.72
168,36.3,32.54
169,47.33,83.47
170,45.15,80.48
171,83.33,71.53
172,100.57,79.23
173,24.79,21.26
174,85.24,77.42
175,40.69,51.22
176,35.93,22.85
177,72.42,28.96
178,87.37,27.11
179,40.95,20.23
180,39.96,75.0
181,64.47,32.32
182,33.76,28.6
183,100.62,83.87
184,96.0,85.23
185,41.04,82.18
186,40.2,25.65
187,88.49,65.95
188,36.79,26.98
189,39.67,73.44
190,90.74,89.77
191,85.73,100.0
192,72.73,28.45
193,36.86,39.42
194,81.23,6.43
195,97.09,4.21
196,71.33,92.9
197,42.52,30.63
198,50.45,68.41
199,32.44,19.24
200,32.97,98.84
201,26.68,21.15
202,78.16,84.09
203,39.05,66.8
204,35.54,32.52
205,82.37,15.47
206,54.14,77.99
207,87.87,76.95
208,39.93,9.45
209,81.44,83.91
210,32.47,21.73
211,88.51,36.96
212,94.24,29.77
213,92.9,80.9
214,52.29,76.69
215,47.45,74.68
216,36.01,70.24
217,23.6,80.0
218,23.34,14.3
219,46.71,77.41
220,34.87,21.56
221,44.02,29.33
222,42.75,11.76
223,98.92,88.08
224,33.25,82.85
225,27.33,21.19
226,82.32,18.31
227,27.64,23.73
228,90.56,92.63
229,37.33,94.16
230,93.07,94.66
231,78.94,62.08
232,92.66,82.32
233,39.69,42.97
234,31.24,16.66
235,36.71,96.53
236,37.31,28.21
237,84.77,74.96
238,91.62,29.99
239,93.42,84.19
240,80.85,12.29
241,38.74,29.02
242,96.64,69.72
243,91.28,76.02
244,100.83,85.99
245,98.86,32.6
246,28.07,23.0
247,89.45,72.34
248,40.43,37.23
249,33.43,72.32
250,85.16,75.11
251,29.55,13.1
252,46.96,30.72
253,86.85,81.67
254,98.82,23.63
255,86.33,85.74
256,84.46,29.72
257,90.1,25.49
258,84.17,38.28
259,39.61,73.51
260,86.22,32.62
261,29.78,75.24
262,57.03,96.89
263,87.72,79.49
264,45.15,77.6
265,82.3,72.92
266,33.52,11.98
267,75.62,27.49
268,25.93,19.49
269,41.76,70.13
270,41.28,64.18
