customer_id,annual_income_k,spending_score,cluster
1,52.13,23.15,3
2,38.56,83.91,1
3,39.57,73.74,1
4,40.72,83.17,1
5,79.63,31.84,0
6,40.25,69.99,1
7,79.63,100.0,2
8,36.75,15.79,3
9,70.95,17.23,0
10,87.35,73.8,2
11,91.01,13.74,0
12,98.85,58.45,2
13,103.77,76.98,2
14,47.86,81.59,1
15,76.58,38.33,0
16,85.26,31.32,0
17,96.43,63.52,2
18,87.11,19.68,0
19,42.29,99.16,1
20,21.54,15.86,3
21,83.3,83.3,2
22,87.65,75.15,2
23,41.97,26.61,3
24,29.68,25.2,3
25,90.85,17.85,0
26,28.18,14.24,3
27,44.78,16.02,3
28,89.87,18.66,0
29,43.43,69.46,1
30,31.57,16.85,3
31,29.05,71.12,1
32,41.86,27.41,3
33,76.12,39.55,0
34,82.89,77.22,2
35,105.61,92.02,2
36,36.02,19.04,3
37,32.84,77.86,1
38,31.3,5.81,3
39,31.14,67.63,1
40,51.69,78.8,1
41,32.18,21.6,3
42,42.7,89.11,1
43,87.26,87.12,2
44,34.6,9.81,3
45,26.6,92.04,1
46,98.71,72.98,2
47,32.78,66.83,1
48,74.06,80.06,2
49,38.75,90.85,1
50,91.26,25.97,0
51,28.13,30.99,3
52,96.77,19.86,0
53,88.95,73.52,2
54,88.95,71.27,2
55,53.79,87.0,1
56,28.49,32.56,3
57,99.57,10.59,0
58,92.42,25.65,0
59,87.5,27.06,0
60,28.28,19.65,3
61,37.95,24.11,3
62,38.73,89.02,1
63,82.66,10.77,0
64,42.04,29.38,3
65,75.35,66.48,2
66,32.21,16.09,3
67,106.62,78.28,2
68,87.14,88.42,2
69,94.37,10.58,0
70,38.98,34.59,3
71,42.03,24.28,3
72,52.63,79.15,1
73,75.27,26.24,0
74,30.2,95.56,1
75,94.42,25.1,0
76,34.2,100.0,1
77,29.89,21.49,3
78,36.36,78.54,1
79,88.56,83.13,2
80,28.4,11.99,3
81,83.11,34.62,0
82,30.52,80.81,1
83,92.79,72.01,2
84,43.08,82.84,1
85,91.57,76.34,2
86,51.26,81.4,1
87,38.69,84.24,1
88,36.11,78.61,1
89,83.47,36.79,0
90,41.47,83.07,1
91,93.14,66.54,2
92,83.23,81.18,2
93,92.51,76.74,2
94,78.14,82.01,2
95,76.89,29.13,0
96,86.41,27.1,0
97,33.47,17.68,3
