feature,importance
worst area,0.13868229552732514
worst perimeter,0.13389211838610834
worst concave points,0.10600953470551897
mean concave points,0.10098152135446367
worst radius,0.0841027263966408
mean concavity,0.06440475371400937
mean radius,0.051255202605567325
mean perimeter,0.049903124029035115
mean area,0.03703022218703782
worst concavity,0.03670514013900955
area error,0.03295023205122107
worst texture,0.018854625853716535
mean compactness,0.017845685731743804
radius error,0.01725103829010669
worst compactness,0.014303213747111087
mean texture,0.013844516943395994
worst symmetry,0.012725602839084606
worst smoothness,0.011351517170624749
perimeter error,0.006988133991346858
mean smoothness,0.006982093944285594
concavity error,0.006448991955987966
fractal dimension error,0.005626266574765711
concave points error,0.005381870662564358
worst fractal dimension,0.005240024599539599
compactness error,0.004438319054160459
texture error,0.004075382509933324
mean symmetry,0.003706916692910706
smoothness error,0.003377617885837811
symmetry error,0.003166685167856436
mean fractal dimension,0.002474625289090542
