rank_test_score,mean_test_score,std_test_score,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf
1,0.953094192901041,0.017435485693924897,400,,2,2
1,0.953094192901041,0.017435485693924897,400,8,2,1
1,0.953094192901041,0.017435485693924897,400,8,2,2
1,0.953094192901041,0.017435485693924897,400,16,2,2
5,0.9504382572873589,0.019661892810724738,100,,2,2
5,0.9504382572873589,0.019661892810724738,200,,2,2
5,0.9504382572873589,0.019661892810724738,200,8,2,2
5,0.9504382572873589,0.019661892810724738,100,16,2,2
5,0.9504382572873589,0.019661892810724738,200,16,2,2
10,0.9477165715981579,0.02350870251151243,400,,5,1
10,0.9477165715981579,0.02350870251151243,400,,5,2
10,0.9477165715981579,0.02350870251151243,400,8,5,1
10,0.9477165715981579,0.02350870251151243,400,8,5,2
10,0.9477165715981579,0.02350870251151243,400,16,5,1
10,0.9477165715981579,0.02350870251151243,400,16,5,2
16,0.9477018387762925,0.017368517657907107,100,8,2,2
17,0.9474568908277317,0.01723324042806483,200,,5,2
17,0.9474568908277317,0.01723324042806483,200,8,5,2
17,0.9474568908277317,0.01723324042806483,200,16,5,2
20,0.9473083250172231,0.02383560805875302,400,,2,1
20,0.9473083250172231,0.02383560805875302,200,8,2,1
20,0.9473083250172231,0.02383560805875302,400,16,2,1
23,0.9443269585575956,0.021444528628519068,100,,2,1
23,0.9443269585575956,0.021444528628519068,200,,2,1
23,0.9443269585575956,0.021444528628519068,100,8,2,1
23,0.9443269585575956,0.021444528628519068,100,16,2,1
23,0.9443269585575956,0.021444528628519068,200,16,2,1
28,0.9391014023216291,0.027286907720571723,200,,5,1
28,0.9391014023216291,0.027286907720571723,100,,5,2
28,0.9391014023216291,0.027286907720571723,100,8,5,2
28,0.9391014023216291,0.027286907720571723,200,16,5,1
28,0.9391014023216291,0.027286907720571723,100,16,5,2
33,0.9390901687561717,0.02397783916915709,200,8,5,1
34,0.9363684830669706,0.0260621176381753,100,,5,1
34,0.9363684830669706,0.0260621176381753,100,8,5,1
34,0.9363684830669706,0.0260621176381753,100,16,5,1
