kernel,rank_test_score,mean_test_score,std_test_score,param_svc__C,param_svc__gamma
linear,1,0.9948400412796697,0.004851458936447132,0.1,not applicable
linear,2,0.9947368421052631,0.004910372447211703,1.0,not applicable
linear,3,0.9945304437564498,0.003554009361759092,10.0,not applicable
linear,4,0.9927760577915375,0.007253367756782498,0.01,not applicable
linear,5,0.9912280701754386,0.004638226017387848,100.0,not applicable
rbf,1,0.9958720330237358,0.004292390989284869,100.0,0.001
rbf,2,0.9956656346749225,0.004713389988305197,10.0,0.01
rbf,3,0.9948400412796697,0.00431713119986626,1.0,scale
rbf,4,0.9944272445820435,0.006635313686554572,1.0,0.01
rbf,5,0.993498452012384,0.005879636546230782,10.0,0.001
rbf,6,0.9932920536635708,0.005372307568553252,10.0,scale
rbf,7,0.993188854489164,0.0056843918901632534,100.0,0.01
rbf,8,0.9912280701754386,0.0036777151044799805,1.0,0.1
rbf,9,0.9897832817337461,0.008692041976984793,1.0,0.001
rbf,10,0.9892672858617131,0.0055708439943305465,100.0,scale
rbf,11,0.9874097007223941,0.009239640571970839,0.1,0.01
rbf,12,0.9862745098039216,0.003089087625819577,100.0,0.1
rbf,13,0.986171310629515,0.002962373600496892,10.0,0.1
rbf,14,0.9853457172342622,0.009199209369686856,0.1,scale
rbf,15,0.9827657378740972,0.012519042463670402,0.1,0.001
rbf,16,0.9818369453044375,0.007882417524841378,0.1,0.1
rbf,17,0.9810113519091848,0.013018648454652719,0.01,0.001
rbf,18,0.9810113519091846,0.012338237104089846,0.01,0.01
rbf,19,0.9793601651186791,0.011186523936366781,0.01,scale
rbf,20,0.974406604747162,0.009689737539158288,0.01,0.1
rbf,21,0.9655314757481941,0.010981866331824984,0.01,1
rbf,21,0.9655314757481941,0.010981866331824984,0.1,1
rbf,23,0.9651702786377709,0.011574881232454027,1.0,1
rbf,23,0.9651702786377709,0.011574881232454027,10.0,1
rbf,23,0.9651702786377709,0.011574881232454027,100.0,1
